@relation GIGO

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute f61 numeric
@attribute f62 numeric
@attribute f63 numeric
@attribute f64 numeric
@attribute f65 numeric
@attribute f66 numeric
@attribute f67 numeric
@attribute f68 numeric
@attribute f69 numeric
@attribute f70 numeric
@attribute f71 numeric
@attribute f72 numeric
@attribute f73 numeric
@attribute f74 numeric
@attribute f75 numeric
@attribute f76 numeric
@attribute f77 numeric
@attribute f78 numeric
@attribute f79 numeric
@attribute f80 numeric
@attribute f81 numeric
@attribute f82 numeric
@attribute f83 numeric
@attribute f84 numeric
@attribute f85 numeric
@attribute f86 numeric
@attribute f87 numeric
@attribute f88 numeric
@attribute f89 numeric
@attribute f90 numeric
@attribute f91 numeric
@attribute f92 numeric
@attribute f93 numeric
@attribute f94 numeric
@attribute f95 numeric
@attribute f96 numeric
@attribute f97 numeric
@attribute f98 numeric
@attribute f99 numeric
@attribute f100 numeric
@attribute f101 numeric
@attribute f102 numeric
@attribute f103 numeric
@attribute f104 numeric
@attribute f105 numeric
@attribute f106 numeric
@attribute f107 numeric
@attribute f108 numeric
@attribute f109 numeric
@attribute f110 numeric
@attribute f111 numeric
@attribute f112 numeric
@attribute f113 numeric
@attribute f114 numeric
@attribute f115 numeric
@attribute f116 numeric
@attribute f117 numeric
@attribute f118 numeric
@attribute f119 numeric
@attribute f120 numeric
@attribute f121 numeric
@attribute f122 numeric
@attribute f123 numeric
@attribute f124 numeric
@attribute f125 numeric
@attribute f126 numeric
@attribute f127 numeric
@attribute f128 numeric
@attribute f129 numeric
@attribute f130 numeric
@attribute f131 numeric
@attribute f132 numeric
@attribute f133 numeric
@attribute f134 numeric
@attribute f135 numeric
@attribute f136 numeric
@attribute f137 numeric
@attribute f138 numeric
@attribute f139 numeric
@attribute f140 numeric
@attribute f141 numeric
@attribute f142 numeric
@attribute f143 numeric
@attribute f144 numeric
@attribute f145 numeric
@attribute f146 numeric
@attribute f147 numeric
@attribute f148 numeric
@attribute f149 numeric
@attribute f150 numeric
@attribute f151 numeric
@attribute f152 numeric
@attribute f153 numeric
@attribute f154 numeric
@attribute f155 numeric
@attribute f156 numeric
@attribute f157 numeric
@attribute f158 numeric
@attribute f159 numeric
@attribute f160 numeric
@attribute f161 numeric
@attribute f162 numeric
@attribute f163 numeric
@attribute f164 numeric
@attribute f165 numeric
@attribute f166 numeric
@attribute f167 numeric
@attribute f168 numeric
@attribute f169 numeric
@attribute f170 numeric
@attribute f171 numeric
@attribute f172 numeric
@attribute tag {Iron}

@data
0.48156,0.3903,0.43247,0.29515,0.38697,0.39936,0.31359,0.45822,0.45898,0.41738,0.44991,0.3853,0.37937,0.44519,0.44655,0.44905,0.37939,0.54326,0.30649,0.50958,0.51153,0.30429,0.60477,0.57264,0.54149,0.44667,0.51118,0.50949,0.43935,0.57405,0.57254,0.51881,0.60383,0.43333,0.54623,0.3854,0.3871,0.55086,0.47597,0.47615,0.43893,0.66826,0.37686,0.3999,0.68207,0.48072,0.47984,0.63399,0.59429,0.56313,0.55364,0.55479,0.59644,0.6289,0.65179,0.62337,0.71103,0.57489,0.56925,0.6906,0.67342,0.67654,0.48473,0.45042,0.41369,0.42099,0.32988,0.349,0.42042,0.45468,0.4494,0.40005,0.47693,0.34478,0.35036,0.47192,0.443,0.44718,0.44428,0.55815,0.41284,0.51429,0.51699,0.40716,0.60272,0.61441,0.57148,0.47299,0.5257,0.52579,0.47341,0.62954,0.63068,0.51676,0.53913,0.4204,0.51895,0.36263,0.36671,0.51853,0.47154,0.47098,0.41346,0.56653,0.37106,0.32509,0.55938,0.46116,0.46151,0.5749,0.59705,0.53666,0.55658,0.55351,0.53805,0.65653,0.65917,0.61344,0.61245,0.57552,0.58858,0.62261,0.65631,0.6533,0.61589,1.1314,0.81078,1.6786,0.91028,2.2787,1.193,3.3165,0.65736,1.3393,0.7903,1.6109,0.80171,1.9363,0.99827,2.7703,0.86542,1.8053,0.98359,2.0117,0.92885,2.2334,1.1118,3.0743,0.80989,1.6123,1.0321,2.2754,1.1124,2.9546,1.3836,4.1105,0.72275,1.4406,0.8886,1.803,0.92168,2.1574,1.1024,2.906,0.71282,1.3743,0.86646,1.7309,0.87629,2.0874,1.0756,2.9293,Iron
0.48487,0.3016,0.37058,0.16788,0.29786,0.30055,0.209,0.43024,0.42929,0.39996,0.38115,0.34436,0.34918,0.38476,0.44458,0.44414,0.33638,0.58015,0.2216,0.5331,0.52226,0.17424,0.63915,0.64008,0.59001,0.41956,0.53238,0.54743,0.45084,0.6282,0.64483,0.51066,0.63339,0.40151,0.58821,0.35083,0.33186,0.57652,0.45774,0.45486,0.40871,0.68086,0.35428,0.36479,0.69576,0.44857,0.45788,0.62686,0.61065,0.56154,0.56285,0.56062,0.56482,0.65587,0.65351,0.60725,0.69061,0.56481,0.56031,0.68445,0.65087,0.65033,0.48544,0.42143,0.33128,0.35457,0.24399,0.23484,0.3843,0.39902,0.39746,0.36134,0.46043,0.29794,0.29297,0.4622,0.4186,0.41716,0.4253,0.59513,0.37994,0.56522,0.55732,0.38871,0.62381,0.63616,0.59968,0.46306,0.55522,0.55326,0.45865,0.6432,0.64903,0.51431,0.57239,0.38433,0.53224,0.30181,0.27578,0.53934,0.44907,0.46041,0.40063,0.61064,0.26171,0.2609,0.60647,0.46776,0.48081,0.5782,0.60395,0.53918,0.55687,0.55736,0.54256,0.64878,0.64511,0.60025,0.61361,0.55972,0.55771,0.61158,0.64135,0.64094,0.67379,1.261,0.95397,1.9284,1.0474,2.2766,1.1345,2.5415,0.65641,1.1725,0.89737,1.7108,0.95635,1.9411,0.99799,2.0599,0.63574,1.0997,0.88095,1.6291,0.9303,1.8293,0.95445,1.8726,0.66044,1.1728,0.9425,1.9098,1.032,2.2961,1.0972,2.4219,0.63568,1.0674,0.86704,1.5613,0.88652,1.6856,0.87865,1.6217,0.67989,1.234,0.88544,1.6207,0.90962,1.7316,0.92892,1.7792,Iron
0.49486,0.35887,0.41405,0.28316,0.35246,0.35682,0.28116,0.45687,0.45617,0.41138,0.43086,0.35615,0.35541,0.43114,0.45492,0.45559,0.36389,0.57028,0.28755,0.5304,0.53172,0.28811,0.63203,0.62299,0.57743,0.43248,0.5346,0.53485,0.43875,0.62916,0.63843,0.50472,0.6341,0.41837,0.56617,0.35916,0.36725,0.56691,0.46305,0.46216,0.39702,0.72764,0.33671,0.30537,0.70258,0.4554,0.46029,0.63092,0.60116,0.56326,0.54953,0.54854,0.56619,0.65771,0.66111,0.60289,0.70701,0.54781,0.55063,0.70967,0.6646,0.65875,0.49685,0.43725,0.39495,0.39238,0.33269,0.34089,0.39445,0.4473,0.44648,0.39013,0.47026,0.33475,0.33335,0.47018,0.44459,0.44521,0.4291,0.61001,0.39052,0.54903,0.55413,0.36989,0.68942,0.66467,0.59018,0.46599,0.5447,0.54323,0.46837,0.64377,0.64606,0.50298,0.5583,0.39556,0.5277,0.33822,0.34125,0.52798,0.44954,0.44972,0.40656,0.60015,0.35078,0.33917,0.60108,0.45596,0.46425,0.57407,0.59826,0.53425,0.54971,0.54831,0.53342,0.65182,0.65738,0.60176,0.619,0.5516,0.5541,0.62004,0.66297,0.65701,0.4757,0.81444,0.75576,1.9327,1.0117,3.0935,1.1219,3.1678,0.43925,0.64156,0.67056,1.4107,0.84009,2.2717,0.9053,2.4252,0.45897,0.71566,0.68533,1.4623,0.85459,2.2612,0.9606,2.4515,0.52156,0.97854,0.78918,1.9971,1.0337,3.0614,1.2327,3.272,0.45721,0.71941,0.67222,1.4593,0.84077,2.3084,0.94496,2.4518,0.43926,0.64412,0.66652,1.4457,0.85367,2.3513,0.95271,2.4969,Iron
0.48425,0.34358,0.37911,0.24596,0.31737,0.31468,0.25375,0.43459,0.43529,0.39178,0.42493,0.32258,0.32679,0.43556,0.43696,0.44222,0.34012,0.60102,0.24156,0.54143,0.53135,0.24499,0.66364,0.6628,0.57889,0.43292,0.52731,0.52417,0.4218,0.6572,0.65092,0.51376,0.62743,0.41923,0.56226,0.35125,0.34328,0.56087,0.46703,0.46764,0.3931,0.72127,0.30459,0.30568,0.69322,0.46123,0.45751,0.65221,0.60654,0.57132,0.55356,0.55862,0.58691,0.65196,0.6588,0.62875,0.73571,0.57733,0.58086,0.72567,0.67552,0.67332,0.4845,0.42061,0.36323,0.36816,0.30066,0.30024,0.36932,0.42454,0.42823,0.38152,0.46209,0.315,0.3155,0.46141,0.44006,0.44579,0.42485,0.60266,0.37149,0.54477,0.538,0.35666,0.66943,0.66859,0.57694,0.46475,0.52968,0.53025,0.46623,0.63432,0.63158,0.51586,0.57466,0.40171,0.53419,0.32064,0.31162,0.52837,0.46511,0.46681,0.37626,0.6219,0.30725,0.30689,0.61913,0.4498,0.44411,0.58363,0.61056,0.53838,0.55898,0.56168,0.54608,0.66665,0.67864,0.62724,0.61955,0.57386,0.58274,0.62432,0.68006,0.67437,0.64807,1.0573,0.92474,1.7047,1.1297,2.3029,1.4115,2.9786,0.6289,0.98337,0.89741,1.5749,1.0495,2.0905,1.26,2.6504,0.67584,1.0849,0.97564,1.7542,1.1499,2.3261,1.3909,2.9289,0.72551,1.1781,1.0595,1.9768,1.3216,2.7473,1.659,3.5125,0.66421,1.0647,0.97778,1.8055,1.1842,2.4969,1.4507,3.124,0.63514,1.0069,0.92462,1.6647,1.1044,2.2505,1.3499,2.8202,Iron
0.46509,0.35287,0.33535,0.25214,0.26722,0.26966,0.25034,0.41238,0.4132,0.37588,0.43274,0.28023,0.32274,0.44318,0.42891,0.42377,0.37027,0.56636,0.26853,0.5152,0.51024,0.25256,0.61993,0.63324,0.54736,0.44382,0.5033,0.50463,0.4401,0.59553,0.60613,0.5326,0.59865,0.42533,0.54958,0.35851,0.35601,0.54756,0.48056,0.47688,0.40204,0.70597,0.30395,0.30925,0.68497,0.47124,0.46846,0.6564,0.62653,0.56657,0.57392,0.57739,0.58118,0.6676,0.67577,0.64576,0.74203,0.60383,0.60483,0.73966,0.68237,0.68112,0.47013,0.40907,0.35523,0.3357,0.29788,0.29983,0.34339,0.40925,0.42668,0.38405,0.45736,0.30828,0.31409,0.46285,0.43901,0.43476,0.42602,0.56315,0.38097,0.51839,0.5161,0.35927,0.64589,0.63251,0.549,0.46557,0.50906,0.50812,0.46464,0.60711,0.60574,0.52842,0.56004,0.4294,0.53032,0.34621,0.34823,0.52784,0.48176,0.47801,0.41317,0.59923,0.31936,0.32886,0.59828,0.47482,0.49041,0.59529,0.61805,0.54297,0.56318,0.5699,0.56081,0.67807,0.6835,0.63818,0.63108,0.58198,0.58578,0.62933,0.69067,0.6896,0.53414,0.81307,0.81602,1.6065,1.1867,3.3042,1.3735,3.4475,0.47648,0.61621,0.7071,1.1669,0.94093,2.1293,1.1142,2.4978,0.46407,0.59032,0.67161,1.0548,0.85105,1.7078,1.0507,2.2507,0.50727,0.76544,0.73307,1.287,0.98089,2.0571,1.2811,2.7858,0.46984,0.58298,0.6671,0.98212,0.8268,1.5629,0.9872,2.0439,0.48583,0.62482,0.71742,1.1755,0.95295,2.251,1.0688,2.4217,Iron
0.47588,0.34447,0.36313,0.25831,0.28104,0.28136,0.2636,0.4337,0.4351,0.38527,0.41869,0.29929,0.30634,0.42999,0.44516,0.44531,0.37229,0.56544,0.2811,0.51216,0.50998,0.29557,0.63203,0.61746,0.56784,0.44049,0.50815,0.50912,0.4409,0.61523,0.62669,0.52272,0.63373,0.4368,0.56234,0.34653,0.35363,0.56802,0.47917,0.47918,0.42318,0.72913,0.32221,0.35156,0.69641,0.47575,0.47196,0.63366,0.6239,0.56238,0.58095,0.58259,0.56829,0.66102,0.66495,0.62931,0.70536,0.58438,0.58312,0.71348,0.66969,0.67115,0.4832,0.42036,0.36597,0.34469,0.30723,0.30498,0.35076,0.41495,0.42428,0.3843,0.4649,0.32435,0.32355,0.47147,0.43935,0.43548,0.43731,0.60385,0.37149,0.53904,0.53792,0.3734,0.66209,0.68484,0.58396,0.47273,0.53286,0.53276,0.4719,0.64363,0.63623,0.51771,0.56732,0.41049,0.52889,0.3365,0.34673,0.53088,0.46911,0.46492,0.42194,0.59881,0.36491,0.34417,0.60046,0.47026,0.48027,0.58299,0.60407,0.5399,0.56025,0.55748,0.54097,0.65268,0.65349,0.612,0.61803,0.563,0.56622,0.62137,0.66447,0.66797,0.43373,0.47066,0.5575,0.74024,0.56549,0.99695,0.67391,1.5121,0.40804,0.39509,0.5261,0.62398,0.5213,0.85361,0.59607,1.2897,0.41881,0.44819,0.53218,0.68937,0.52653,0.87837,0.58114,1.2046,0.46775,0.6374,0.59665,0.97053,0.63279,1.2897,0.76692,1.9167,0.43315,0.47409,0.55846,0.73596,0.56917,1.001,0.64609,1.5075,0.42336,0.42615,0.54474,0.64172,0.5358,0.80195,0.58302,1.1101,Iron
0.47976,0.34034,0.33975,0.23965,0.26539,0.26605,0.22607,0.41322,0.42402,0.37998,0.41651,0.29484,0.30401,0.43415,0.44638,0.4389,0.33071,0.59545,0.2247,0.53728,0.53765,0.21352,0.64445,0.64,0.57341,0.42573,0.5187,0.51966,0.43038,0.61207,0.61939,0.51625,0.63234,0.42556,0.56385,0.35234,0.35611,0.56076,0.47198,0.47397,0.39636,0.73624,0.33712,0.29849,0.69674,0.46195,0.46285,0.63511,0.61475,0.56717,0.57147,0.57342,0.57017,0.65095,0.65354,0.61809,0.7132,0.57332,0.57524,0.70678,0.65692,0.65789,0.49195,0.40711,0.36164,0.33624,0.2976,0.28645,0.34697,0.42276,0.42979,0.38821,0.4631,0.29912,0.31386,0.46329,0.45158,0.44556,0.42741,0.61642,0.3776,0.54636,0.55207,0.36054,0.68843,0.6745,0.5808,0.46858,0.53306,0.53476,0.46791,0.63822,0.63546,0.50746,0.57322,0.38933,0.53926,0.29908,0.30619,0.54172,0.45893,0.44952,0.36528,0.60757,0.28462,0.27997,0.60095,0.45683,0.45449,0.58087,0.60301,0.5429,0.55264,0.55503,0.54344,0.65569,0.66334,0.60504,0.61191,0.55659,0.55899,0.61418,0.65706,0.65783,0.61013,0.97046,1.0262,2.1677,1.3714,3.1957,1.5755,3.5262,0.55594,0.74229,0.91621,1.5913,1.0652,2.1022,1.1214,2.0872,0.60217,0.81984,0.96242,1.6271,1.0523,2.0394,1.0711,2.0024,0.71566,1.1963,1.1284,2.3545,1.3886,3.2096,1.524,3.2895,0.64555,0.94508,1.0604,1.9395,1.2086,2.4943,1.2279,2.3897,0.59197,0.81721,0.99612,1.7427,1.1848,2.3854,1.2458,2.5209,Iron
0.47474,0.33099,0.34351,0.24599,0.27646,0.27231,0.24835,0.41027,0.40944,0.36619,0.41095,0.28436,0.28522,0.39171,0.42803,0.42902,0.33198,0.5888,0.26113,0.53156,0.53259,0.25948,0.64105,0.64398,0.57171,0.40023,0.51672,0.52274,0.41937,0.63318,0.61834,0.52514,0.68729,0.38349,0.59429,0.28898,0.31348,0.61048,0.47348,0.48087,0.40179,0.78614,0.32398,0.32847,0.77161,0.48162,0.45536,0.65782,0.60359,0.58419,0.57245,0.56679,0.57828,0.64411,0.6409,0.60525,0.73219,0.56486,0.56991,0.75231,0.6461,0.64764,0.47129,0.40682,0.35761,0.3433,0.30435,0.29999,0.34223,0.41363,0.41581,0.37517,0.45658,0.31254,0.31845,0.45787,0.41586,0.41662,0.39856,0.61005,0.34459,0.53247,0.5537,0.35254,0.69803,0.69017,0.65099,0.45511,0.56832,0.57798,0.44931,0.71967,0.71144,0.52128,0.57237,0.39242,0.53711,0.33256,0.32869,0.54041,0.44115,0.46913,0.38338,0.61014,0.3221,0.32364,0.60643,0.46566,0.45108,0.57147,0.62511,0.54135,0.5826,0.57376,0.53936,0.67361,0.67939,0.63149,0.60245,0.575,0.57079,0.60642,0.69183,0.69776,0.41081,0.60995,0.56096,1.0271,0.69912,1.5525,1.0132,2.1528,0.38449,0.47531,0.52199,0.8112,0.62114,1.1769,0.86179,1.6402,0.37175,0.39325,0.47565,0.60332,0.51728,0.83487,0.67557,1.191,0.39843,0.48205,0.48989,0.7103,0.53889,1.0268,0.73075,1.6226,0.38296,0.46291,0.48915,0.74326,0.52028,0.9059,0.67906,1.309,0.38834,0.49774,0.51213,0.81029,0.56939,1.0261,0.74993,1.3607,Iron
0.48402,0.33964,0.34987,0.23265,0.2806,0.28057,0.23957,0.41652,0.41481,0.39479,0.43772,0.30985,0.32245,0.44048,0.4511,0.44187,0.35441,0.58974,0.25421,0.53323,0.54231,0.27073,0.6422,0.63681,0.5676,0.42765,0.52514,0.52052,0.4287,0.6259,0.62317,0.51448,0.6275,0.39019,0.56011,0.32658,0.30834,0.56106,0.45572,0.46159,0.37302,0.71751,0.31321,0.28554,0.69315,0.4498,0.43982,0.64853,0.60432,0.57603,0.55607,0.5621,0.57589,0.65073,0.65363,0.61348,0.71973,0.56869,0.5665,0.72601,0.65638,0.65986,0.47823,0.41291,0.33913,0.34614,0.2862,0.28449,0.35473,0.41063,0.41272,0.38495,0.45509,0.31274,0.29987,0.46638,0.44734,0.44232,0.4054,0.59321,0.35606,0.53999,0.5307,0.34953,0.6705,0.65381,0.57017,0.45273,0.51419,0.51955,0.4537,0.63888,0.62048,0.51713,0.56527,0.40618,0.53377,0.32514,0.3384,0.52845,0.45948,0.46024,0.39457,0.60321,0.33409,0.32646,0.60244,0.46226,0.46123,0.57806,0.6118,0.53969,0.56167,0.5681,0.54306,0.66391,0.66317,0.62391,0.61466,0.57196,0.57001,0.61497,0.6732,0.67712,0.55156,0.76457,0.74426,1.2011,0.85699,1.7201,1.0379,1.9999,0.58909,0.91966,0.83177,1.5537,0.98642,2.1892,1.1834,2.469,0.56421,0.84527,0.76935,1.3925,0.87908,1.9788,0.99346,2.2308,0.53331,0.72536,0.67912,1.0979,0.74163,1.5006,0.82876,1.6541,0.55123,0.84379,0.74607,1.3988,0.87473,2.0557,1.0211,2.3745,0.55105,0.80078,0.75511,1.3156,0.88943,1.9896,1.0256,2.3003,Iron
0.48584,0.32542,0.35576,0.23577,0.29309,0.2949,0.23422,0.41973,0.41984,0.37216,0.41176,0.30422,0.30438,0.42594,0.43039,0.43599,0.33589,0.60883,0.24732,0.54741,0.55918,0.24488,0.66777,0.65951,0.59181,0.42169,0.54444,0.52977,0.42478,0.65648,0.65189,0.51185,0.6262,0.40629,0.56471,0.33343,0.33855,0.55842,0.46152,0.45453,0.38703,0.70676,0.32584,0.3119,0.70171,0.45242,0.45656,0.65962,0.61209,0.58434,0.56176,0.56433,0.58591,0.65405,0.65693,0.61835,0.73168,0.56488,0.56646,0.73419,0.66577,0.67303,0.4832,0.4018,0.35177,0.35024,0.29232,0.29276,0.35153,0.4135,0.41503,0.36562,0.44973,0.29927,0.29833,0.45397,0.42798,0.43469,0.41824,0.59791,0.36854,0.53847,0.54539,0.36596,0.66245,0.65223,0.57575,0.46215,0.53268,0.52713,0.45946,0.63288,0.64151,0.5152,0.58009,0.38932,0.54449,0.31324,0.32494,0.53636,0.45808,0.44693,0.38044,0.6217,0.31408,0.30601,0.61978,0.46299,0.44686,0.58244,0.62333,0.54169,0.57086,0.57147,0.5419,0.67207,0.67754,0.6271,0.61641,0.57289,0.57771,0.62415,0.67685,0.68197,0.56965,0.87801,0.77949,1.4103,0.87462,1.8589,1.0107,2.4774,0.58578,0.93411,0.81949,1.517,0.9033,1.8967,0.98525,2.2713,0.66736,1.1863,0.97807,2.0364,1.1383,2.6373,1.2879,3.1033,0.60954,0.90107,0.82713,1.4434,0.92687,1.8636,1.0335,2.222,0.58187,0.91154,0.81768,1.5193,0.97289,2.362,1.1346,3.1723,0.61336,1.1412,0.90348,2.0182,1.1401,3.2151,1.4399,4.5016,Iron
0.5169,0.35222,0.39513,0.27354,0.33567,0.33118,0.26998,0.45569,0.45628,0.4096,0.42606,0.34119,0.33701,0.42294,0.47094,0.47085,0.35306,0.62494,0.27642,0.57162,0.56586,0.27906,0.67719,0.67902,0.62136,0.4215,0.56773,0.56234,0.41677,0.67649,0.67846,0.48138,0.67008,0.3757,0.58414,0.31525,0.31073,0.586,0.43286,0.43502,0.36229,0.7667,0.30019,0.30073,0.7599,0.4253,0.42339,0.65097,0.59016,0.57037,0.52968,0.52831,0.56793,0.65812,0.65906,0.58819,0.74389,0.52839,0.53386,0.75082,0.65533,0.63639,0.51499,0.41889,0.39341,0.37384,0.33244,0.33283,0.37144,0.45736,0.45361,0.39882,0.45949,0.3343,0.33481,0.46472,0.45603,0.45619,0.41055,0.64036,0.36118,0.57817,0.57468,0.35721,0.70614,0.70667,0.62747,0.46095,0.57218,0.57167,0.45756,0.69621,0.69128,0.48553,0.58551,0.38803,0.5417,0.33398,0.32853,0.53875,0.43675,0.4346,0.38295,0.62989,0.32997,0.33143,0.63029,0.42925,0.43006,0.57629,0.60682,0.53344,0.54487,0.5432,0.53673,0.6765,0.68764,0.60578,0.62359,0.54155,0.54137,0.61541,0.69151,0.67316,0.44552,0.98678,0.67269,1.9386,0.84036,2.7023,1.1131,3.6401,0.41321,0.85558,0.6169,1.6042,0.74898,2.2101,0.93333,2.9099,0.47827,0.99065,0.7755,1.9616,0.99862,2.7523,1.1831,3.2768,0.56104,1.3532,0.92498,2.6757,1.2213,3.6851,1.463,4.2644,0.40059,0.69012,0.60475,1.3897,0.75534,2.1054,0.90887,2.6495,0.38295,0.69498,0.56267,1.4263,0.68899,2.1611,0.86956,2.9329,Iron
0.48855,0.33967,0.37087,0.26092,0.31551,0.30283,0.23801,0.43029,0.42855,0.37238,0.42232,0.30383,0.30416,0.40847,0.43783,0.4418,0.3374,0.60934,0.23455,0.54961,0.55102,0.23599,0.66949,0.66531,0.59229,0.41436,0.53269,0.54445,0.42526,0.65039,0.64747,0.50997,0.64502,0.37388,0.56795,0.30778,0.30501,0.5731,0.44752,0.44888,0.37079,0.72594,0.30345,0.30287,0.71828,0.44283,0.4409,0.64197,0.61991,0.57002,0.57364,0.57321,0.57524,0.66487,0.6669,0.63495,0.70918,0.57911,0.57747,0.71525,0.68291,0.68835,0.49242,0.4092,0.38153,0.35983,0.32826,0.31403,0.35515,0.43827,0.43872,0.37134,0.45374,0.29703,0.29342,0.46108,0.42302,0.42594,0.40081,0.60523,0.35271,0.54666,0.54517,0.35112,0.66782,0.66764,0.60484,0.45652,0.5502,0.54958,0.4512,0.66426,0.65904,0.50681,0.57975,0.38722,0.54002,0.30914,0.30713,0.5404,0.4389,0.45165,0.37696,0.62436,0.30265,0.30058,0.61892,0.44959,0.44525,0.59329,0.60288,0.55505,0.55438,0.55434,0.55063,0.65734,0.65428,0.61645,0.62698,0.56341,0.56713,0.63592,0.66386,0.66848,0.70754,1.7953,1.0966,3.1516,1.3823,4.404,1.6042,4.8328,0.6211,1.3598,0.9229,2.3414,1.0722,2.8774,1.1713,3.064,0.68115,1.6444,1.0122,2.699,1.1565,3.0112,1.2726,3.2264,0.8293,2.2782,1.2439,3.6232,1.4545,4.0439,1.6616,4.5227,0.68207,1.6146,1.039,2.6504,1.2145,3.0137,1.347,3.2463,0.6454,1.5017,1.0093,2.597,1.2407,3.2668,1.4272,3.6736,Iron
0.48582,0.32974,0.35571,0.23568,0.2935,0.29363,0.23354,0.42033,0.42123,0.3638,0.41978,0.29772,0.29622,0.42045,0.42972,0.4289,0.34028,0.60874,0.24699,0.54499,0.54641,0.23133,0.67917,0.6781,0.60309,0.427,0.54109,0.54226,0.43746,0.66076,0.67143,0.51178,0.63322,0.39257,0.5629,0.30822,0.31639,0.57344,0.45846,0.45543,0.36799,0.72199,0.29942,0.29999,0.7005,0.44623,0.43274,0.64438,0.62469,0.57431,0.56443,0.56259,0.57493,0.67909,0.67628,0.62973,0.71914,0.5754,0.57916,0.7178,0.67886,0.67941,0.48729,0.40108,0.36056,0.34959,0.29604,0.29512,0.34921,0.42627,0.42508,0.36837,0.45103,0.29781,0.29873,0.45408,0.43162,0.43048,0.4053,0.60246,0.35076,0.54019,0.54051,0.35159,0.66737,0.66774,0.5875,0.4571,0.54401,0.54309,0.45355,0.64582,0.6332,0.51151,0.58496,0.38989,0.54092,0.31475,0.31611,0.53865,0.45816,0.45573,0.38802,0.63534,0.29827,0.30387,0.62848,0.45848,0.46716,0.59142,0.61154,0.54142,0.56324,0.56252,0.55157,0.66194,0.66812,0.61386,0.63219,0.5654,0.56312,0.63136,0.66615,0.667,0.47303,0.67264,0.67998,1.2127,0.86362,1.9211,1.1152,2.6844,0.40955,0.45472,0.57552,0.82523,0.69918,1.3008,0.8971,1.9306,0.41859,0.47319,0.61176,0.94999,0.78332,1.5798,1.0222,2.2673,0.47013,0.5996,0.67696,1.1581,0.86939,1.8874,1.1281,2.552,0.45115,0.56659,0.63465,0.99333,0.7493,1.4886,0.89456,1.9113,0.47038,0.66261,0.68379,1.2,0.84308,1.8534,1.0351,2.4124,Iron
0.4795,0.33716,0.35208,0.25291,0.28754,0.2852,0.25509,0.41532,0.41974,0.35656,0.41515,0.28729,0.28978,0.43966,0.42225,0.42761,0.35633,0.59913,0.2622,0.53927,0.53565,0.26023,0.66171,0.66138,0.58489,0.44157,0.5297,0.52843,0.43932,0.65006,0.64511,0.51818,0.632,0.40416,0.56235,0.32347,0.31056,0.55734,0.46352,0.46359,0.37816,0.72704,0.30047,0.30036,0.72349,0.45168,0.45195,0.64094,0.62621,0.56444,0.56851,0.57287,0.5712,0.67525,0.67842,0.63488,0.72446,0.58242,0.58251,0.72167,0.68206,0.68182,0.4848,0.39909,0.36506,0.34493,0.30905,0.30729,0.34406,0.42171,0.42371,0.37424,0.451,0.31301,0.31889,0.45751,0.44273,0.44186,0.41154,0.60529,0.35168,0.54447,0.54342,0.35167,0.67353,0.67401,0.57989,0.45989,0.52824,0.52716,0.45789,0.65124,0.65685,0.51355,0.57735,0.40758,0.53725,0.33059,0.32367,0.53533,0.46916,0.46643,0.39704,0.62259,0.32282,0.32239,0.61796,0.46649,0.46554,0.5918,0.60876,0.54374,0.55507,0.55921,0.55152,0.67167,0.66797,0.6157,0.63211,0.56426,0.56533,0.63278,0.67392,0.67209,0.61106,1.2074,0.884,2.1177,1.0589,3.3661,1.2262,3.9761,0.54523,0.94821,0.75182,1.4958,0.84138,2.0876,0.94242,2.5717,0.5689,1.0055,0.80489,1.6602,0.89373,2.2591,1.0018,2.8088,0.63074,1.2668,0.92023,2.2261,1.0898,3.1352,1.2869,3.8517,0.58609,1.0028,0.81637,1.6097,0.92603,2.1758,1.0455,2.6338,0.60583,1.131,0.85762,1.8614,0.96519,2.7855,1.0851,3.3139,Iron
